NOC,Weight,TotalScore,Gold,Silver,Bronze,NoMedal
KIR,0.0,0.015803877248049006,0.004183379271542383,0.0034861493929519865,0.008134348583554635,2.324099595301324
SWZ,0.0,0.015594507553405414,0.004127957881783786,0.003439964901486488,0.00802658477013514,2.724341963525978
CPV,0.0,0.015072950704177003,0.00398989871581156,0.003324915596509633,0.00775813639185581,2.647642426874741
SOL,0.0,0.014084057932162707,0.0037281329820430696,0.0031067774850358915,0.007249147465083746,2.3715733653338815
DMA,0.0,0.014082813007242335,0.0037278034430935593,0.003106502869244633,0.007248506694904143,2.071001912829755
GBS,0.0,0.013937468022789185,0.0036893297707383133,0.0030744414756152614,0.00717369677643561,2.714636863275029
SOM,0.0,0.013824179855035553,0.0036593417263329404,0.003049451438610784,0.007115386690091829,2.0329676257405227
MTN,0.0,0.013076913671583704,0.003461535971889804,0.00288461330990817,0.006730764389785731,1.92307553993878
GAM,0.0,0.012850259528268917,0.003401539286894713,0.0028346160724122614,0.0066141041689619425,1.8897440482748404
MON,0.0,0.01192498019660529,0.0031566124049837527,0.002630510337486461,0.006137857454135075,2.505202300710523
IVB,0.0,0.010971745631238723,0.0029042856082690735,0.0024202380068908944,0.005647222016078754,1.9895897349607432
CHA,0.0,0.010836204430533482,0.0028684070551412157,0.00239033921261768,0.005577458162774586,1.5935594750784532
GEQ,0.0,0.010819175636087,0.0028638994330818525,0.002386582860901544,0.005568693342103602,2.0220872698026815
BRU,0.0,0.01041090695461222,0.0027558283115149997,0.0022965235929291662,0.005358555050168055,1.5310157286194441
BHU,0.0,0.01031769320119955,0.002731154082670469,0.002275961735558724,0.005310577382970356,1.517307823705816
TLS,0.0,0.010172815063591537,0.0026928039874212894,0.0022440033228510745,0.0052360077533191735,1.4960022152340495
NRU,0.0,0.009944526956318762,0.002632374782554967,0.002193645652129139,0.0051185065216346574,1.462430434752759
LIE,0.0,0.009048381090871999,0.0023951597005249406,0.0019959664171041174,0.00465725497324294,2.0851064615973023
TUV,0.0,0.008603320431839869,0.0022773495260752594,0.0018977912717293827,0.004428179634035226,1.265194181152922
AHO,0.0,0.00804890645703456,0.0021305928856856188,0.0017754940714046824,0.004142819499944259,1.1836627142697882
EUN,0.0,0.0,0.0,0.0,0.0,0.0
TCH,0.0,0.0,0.0,0.0,0.0,0.0
